Actual Diagnosis,Suggested Diagnosis 1,Suggested Diagnosis 2,Suggested Diagnosis 3,Suggested Diagnosis 4,Suggested Diagnosis 5,Suggested Diagnosis 6,Suggested Diagnosis 7
Disorder of Sulfur-Bearing Amino Acid Metabolism,Difficulty Defecating,Carney Complex Variant,CMSEA,Encephalopathy due to Beta-Mercaptolactate-Cysteine Disulfiduria,Logasthenias,Infarction Myocardial,Enteric Diverticuli
Lambert-Eaton Syndrome,Congenital Constitutional Red Cell Aplasia,Encephalomyelopathy Subacute Necrotizing,Colic Kidneys,Lambert-Eaton Syndrome,Eaton Lambert Myasthenic Syndrome,Naevoid Basal Cell Carcinoma Syndrome,Ingrown Nails Toe
Hallervorden-Spatz Syndrome,Tumour of Pineal Gland,Encephalopathy Gayet Wernicke,Degeneration Pigmentary Pallidal,Myotonic Myopathy Dwarfism Chondrodystrophy and Ocular and Facial Abnormalities,Splenic Flexure Colon Tumor Malignant,Benign Monoclonal Gammapathies,Hallervorden Spatz
Bromocriptine,Bromocriptine [parkinsons] (product),Aphasic Syndromes,Yeast Oral,Vasoactive Intestinal Peptide Producing Tumor,Bromoergocriptine,Acrochorda,Cutaneous Leukocytoclastic Angiitides
Pancreatic Disease,Hmg Coa Reductase Inhibitor (product),ME/CFS,Deviation Nasal Septum,Tumour of Carotid Body,Coma Hepaticum,Valve Regurgitation Pulmonary,Difficult Defecation
Gaucher Disease Type 2,Benign Monoclonal Gammapathies,Vitamin B6 Deficiency Syndrome,Vasovagal Attacks,Anomaly Connection Pulmonary Veins Total,Cerebral Cortical Dysplasia,Leigh Disease,Acute Neuronopathic Gaucher Dis
Tyrosinemia Type 1,Tyrosinemia Type 1,Defic Dis Fumarylacetoacetase,Dermatitis Diaper,Fumarylacetoacetase Deficiency Disease,HIV-Related Dementia,Tyrosinemias Type I,Dilation and Curettage (treatment)
Citrullinemia,Citrullinurias,Lambert-Eaton Myasthenic Syndrome,Oat Cell Lung Carcinoma,Chronic Congenital Aregenerative Anaemia,Deficiency Disease Argininosuccinic Acid Synthase,Dento Alveolar Abscess,Glenohumeral Dislocation
Spinal Tuberculosis,Glucosylceramidase Deficiency Acute Type,URI,Liver Glycogen Phosphorylase Deficiency,Tuberculous Spine,Glenohumeral Dislocation,Acute Monocytic Leukemia Fab M5,Potts Disease
Idiopathic Intracranial Hypertension,Undescended Testicles,Bornier's Syndrome,Diabetes Juvenile Onset,Increased Pressure Intracranial (benign),Pregnancy Separation Placental Premature,Follicular Cancer of Thyroid,Palsies Traumatic Tenth Nerve
Leriche Syndrome,Hepatophosphorylase Deficiency Glycogenosis,Uterine Dilation and Curettage,Leriche's Syndrome,Diabetes Mellitus Ketosis Prone,Aphasia Syndromes,Embolism Aortic Bifurcation,Tumor Pineal
Antineoplastic Agent,Myasthenic Syndrome Lambert Eaton,Miscellaneous Antineoplastic,Lymphoproliferative Syndromes X Linked,IDD,Chemotherapeutic Agent,Statins,Antineoplastic Agents
Shoulder Dislocation,Statins Hmg Coa,Tyrosinemias Hepatorenal,SCLC,Clouston Hidrotic Ectodermal Dysplasia,Dislocation of Shoulder Joint,Shoulder Dislocation,Optic Papillitis
Diaper Rash,Dermatitis Jacquet,Tag (morphologic Abnormality),Stroke Cardiovascular,Nappy Rash,Cold Common,Amfetaminum,2 Bromo Α Ergokryptine
California Encephalitis,FCD Type 2a,Antiinflamm Agents Non Steroidal,Pineal Gland Tumors,Bowel Incontinence,Attack Hearts,Viral Encephalitides California,Small Cell Lung Cancer
Chronic Fatigue Syndrome,Emg Syndrome,Sja Syndrome,Paralyses Idiopathic Facial,Chronic Fatigue Disorder,Kearn Sayers Syndrome,Morquio-Ullrich Syndrome,Akureyri Disease
Nonsteroidal Antiinflammatory Drug,Glycogenosis due to Liver Glycogen Phosphorylase Deficiency,Incontinence Stool,Pituitary Corticotroph Micro-Adenoma,Respiratory Insufficiency,Nonsteroidal Antiinflammatory Agent,Non Steroidal Anti Inflammatory Agent,Immune Dysfunction due to T-Cell Inactivation due to Calcium Entry Defect
Glycogen Storage Disease Type 6,Combined Deficiency of Sulfite Oxidase Xanthine Dehydrogenase and Aldehyde Oxidase Type A,Embedded Nail,Oct Deficiency,Pituitary-Dependent Hypercortisolism Disorder,Meningoencephaloceles Cranial,Identity Dissociative Disorder,Pure Hereditary Red Cell Aplasia
Papilledema,Bifid Cranium,Deficiency N Acetyl Alpha D Glucosaminidase,Pseudointestinal Obstruction Syndrome,Ureteric Colic (context Dependent Category),Syndrome Kearns',Papilledema,Costiveness
Atopic Dermatitis,Disease Moschcowitz,St Louis Encephalitis (sle),Potts Dis,Hematological Malignancy,Myasthenic Syndrome,Degeneration Pigmentary Pallidal,Maternally-Inherited Leigh Disease
St. Louis Encephalitis,St Louis Encephalitis Virus Neuroinvasive Disease,Carotid Body Tumours,Phenylketonuria I,Hirshsprungs Disease,Dislocation of Shoulder,Pulmonic Valve Regurgitation,KSS Kearns-Sayre Syndrome
Carotid Body Tumor,Paraganglioma of Carotid Body,Septo-Optic Dysplasia Spectrum,Abscess Apical Alveolar,Tumors Carotid Body,Congenital Short Bowel Syndrome,Carotid Body Tumor,Trimethoprim Sulfamethoxazole Drug Combination
Follicular Thyroid Carcinoma,Nbia 1,Septo-Optic Dysplasia,Struma Exophthalmic,Carcinomas Follicular,Encephalopathy Hepatic,Follicular Adenocarcinoma well Differentiated,Prem Separ Placen Unspec
Arthrogryposis Syndrome,Lethal Congenital Contracture Syndrome Type 3,Neuroinvasive California Encephalitis Virus Infection,Neoplasm Hematologic,Cns Stimulants Amphetamine,Fatty Livers,Chronic Fatigue and Immune Dysfunction Syndrome,Malignant Tumour  Splenic Flexure
Classical Phenylketonuria,Follicular Cancer of Thyroid,Infarction Heart,BRCR,Classical Phenylketonuria,Shoulder Region Dislocation Traumatic,Enteric Neuropathy,Colds Common
Constipation,Infrequent Defecation,Aregenerative Anemia Chronic Congenital,Dilation and Curettage (procedure),AMI,Snd Striatonigral Degeneration,Oculomelic Amyoplasia,Constipation
Hematologic Neoplasm,Syndromes Acropapulo Vesicular,Paraganglioma Carotid Body,Testicles not in Scrotum,Bone Marrow Carcinoma,C D,Paget Disease Perianal Skin,Hematologic Malignancy
VIPoma,Wernicke Syndrome,Dysplasia Hydrotic Ectodermal,Hepatic Encephalopathy Syndrome,Vasoactive Intestinal Peptide Secreting Adenoma,Malignant Tumor of Splenic Flexure Colon,Implantation Joint Prosthesis,Smx Tmp
AV Block Mobitz II,Mobitz Type II Atrioventricular Block,Diabetes Mellitus Juvenile Onset,Type II second Degree Atrioventricular Block,Tumors Carotid Body,Non Steroid Anti Inflam Drug,Abscess Apical Dentoalveolar,Type 2 2ND Degree Av Block
Graves Disease,Phenylketonuric Embryopathy,Moschowitz's Syndrome,Toxic Diffuse Goitre with Exophthalmos,Acute Coryza,Craniocele,Encephalitis C,Cancer of Areola
Vagus Nerve Injury,Bromocriptine [parkinsons],Deficiencies Argininosuccinate Synthetase,Traumas Tenth Nerve,Tenth Nerve Traumas,FCD Type 2a,Encephalopathy Wernicke's,Multiple Identity Disorders
Fecal Incontinence,Leucocytoclastic Angiitis,Enceph Hepatocerebral,Fah Deficiency,Eczema Allergic,Chemodectoma,Tumors Pineal,Cancer Follicular Thyroid
Vasovagal Syncope,Citrullinemia Type 1,Losing Words,Leukemia Monoblastic Acute,Syndrome Clouston,Syncope due to Vagal Nerve Stimulation,Neopl Cardiac,Dissociation Interference
Abruptio Placentae,Premature Separation of Placenta Unspecified as to Episode of Care,Couvelaire Syndrome,Couvelaire Placenta,Syndrome Kearns,Acute Cerebral Gaucher Disease,Glycogenosis due to Liver Glycogen Phosphorylase Deficiency,A V Dissociation
Cryptorchidism,Eaton Lambert Myopathic Myasthenic Syndromes,B6 Deficiencies Vitamin,Testis Failed to Descend,Aregenerative Anemia Chronic Congenital,CID due to STK4 Deficiency,Ingrown Nails Finger,Rash Diaper
Kearns-Sayre Syndrome,Corpus Callosum Hypoplasia - Retardation - Adducted Thumbs - Spasticity - Hydrocephalus Syndrome,Rash Diaper,Tumour Carotid Body,Syndrome Oculocraniosomatic,Monoclonal Gammopathy of Undetermined Significance (morphologic Abnormality),Syncope Neurogenic,Arthroplasty Replace
Ornithine Transcarbamylase Deficiency,Arthritis Postinfect,Sanfilippo B,Aorta Saddle Embolus,Warts - Hypogammaglobulinemia - Infections - Myelokathexis Syndrome,Trimethoprim Sulphamethoxazole,Deficiencies Ornithine Transcarbamylase,Dissociations Auriculo Ventricular
Childhood Celiac Disease,Dementia due to HIV Infection,Childhood Celiac Disease,Fumarylacetoacetate hydrolase deficiency,Papillitis,Logamnesias,Paget Perianal Skin,Disorder of Affect
Diamond-Blackfan Anemia,Bifid Craniums,MGUS,Personality Multiple,Chronic Progressive External Ophthalmoplegia with Myopathy,Pure Hereditary Red Cell Aplasia,Pseudo Obstructions Idiopathic Intestinal,Carcinomas Follicular Thyroid
Small-Cell Carcinoma of the Lung,Hereditary Hemolytic Elliptocytosis,Tumour of Heart,Facial Nerve Paralysis,IDDM1,Dermatitis Allergy,Disease (or Disorder) Lymphoproliferative X Linked,Ectodermal Dysplasias Hydrotic
Perianal Paget Disease,Perianal Paget Disease,Fibroepithelial Polyp,1 Phenyl 2 Aminopropane,Malignant Areola Tumor,Saint Louis Enceph,Testis Fails to Descend,Follicular Adenocarcinoma well Differentiated Type
Atrioventricular Dissociation,Atrioventricular Dissociation,Saddle Embolus Abd Aorta,Pituitary-Dependent Cushing Syndrome,Morquio Syndromes,Skin Tags,Intracranial Hypertension Idiopathic,Ophthalmoplegia - Pigmentary Degeneration of Retina - Cardiomyopathy
Tumor of the Heart,Tumour of the Heart,Incomplete Atrioventricular Block second Degree Mobitz Type II,Prostate Disorders,Malignancy Hematological,Heart Tumor,Neoplasms Cardiac,GD2
Gianotti-Crosti Syndrome,Paget Perianal Skin,AV-Dissociation,Diet Restrict Sodium,Blood Cancer,Replace Arthroplasties,Glycogenosis Type VI,CPKU
Fatty Liver,Fatty Metamorphosis Liver,Benign Fibrous Histiocytoma of Skin,Fatty Changes in Liver,Prostate,Vasculitis Hypersensitivity,NSAIDs,Low Sodium Diet (treatment)
Wernicke Encephalopathy,Wernicke Superior Hemorrhagic Polioencephalitis,Encephalomyelitis Benign Myalgic,Potts Disease,Aregenerative Anemia Chronic Congenital,Heart Neoplasms,Wernickes Encephalopathy,Tumor of Carotid Body
Hirschsprung Disease,Tumors Vip Secreting (vipoma),Dissociation Auriculoventricular or Atrioventricular,Amfetaminum,CMS6,Disease Hirschsprung,Megacolon Congen,Dilation and Curettage of the Uterus
Myocardial Infarction,MIES,Atrioventricular Dissociations,Catarrh Nasopharyngeal Acute,Infarction of Heart,Cerebral Beriberi,Heart Muscle Infarction,Syndrome Myocardial Infarction
Bonnemann-Meinecke-Reich Syndrome,Arthroplasties Replace,Maldescended Testicle,Non-Syndromic Cerebral Malformation due to Abnormal Neuronal Migration,Lhermitte-Duclos Disease,Bonnemann-Meinecke-Reich Syndrome,FCD Type 1c,Disease Graves'
Replacement Arthroplasty,Schwartz Syndrome,Defic Vitamin B 6,IIH,Arthroplasty Replacement,Enceph St Louis,Basedow's Disease,Arthroplasty Replace
Pituitary Cushing Syndrome,Type I Hypertyrosinemias,Bromocriptine (product),Deficiency Phenylalanine Hydroxylase,Ectodermal Dysplasia Hidrotic 2 Formerly,Kidney Colic,Diseases Graves,Thrombot Thrombocytopen Purpur
Acute Monocytic Leukemia,Scimitar Anomaly,Morquios Dis,Congenital Short Bowel Syndrome,Enteric Diverticuli,Hepatic Steatosis,Acute Monocytic Leukemias,Hyperthyroidism Autoimmune
Renal Colic,Aphemia,Renal Colic (& Symptom),Embolism Aortic Saddle,Bowel Incontinent,Wiedemann Beckwith Syndrome,Odontogenic Keratocytosis Skeletal Anomalies Syndrome,3 Hydroxy 3 Methylglutaryl Coenzyme a (hmg Coa) Reductase Inhibitor
Thrombotic Thrombocytopenic Purpura,Paget's Disease of Perianal Skin,GSD due to Liver Glycogen Phosphorylase Deficiency,Liver Fatty Metamorphosis,Fumarylacetoacetase Deficiencies,Thrombotic Thrombocytopenic Purpura,SAO,Feces Incontinence of
Mucopolysaccharidosis Type 3B,Chondrodystrophic Myotonia,Tumours Carotid Body,Tuberculosis of Vertebral Column Unspecified Examination,Malignant Neoplasm of Areola of the Breast,Deficiency Otc,Deficiency Vitamin B6,Alpha-N-Acetylglucosaminidase Deficiency
Reactive Arthritis,Reactive Arthritis,Identity Disorder Multiple,Acrodermatitis Papulosa Infantum,Placental Separation,Myalgic Encephalitis,Follicular Carcinoma,Brain Cortical Dysplasia
Deviated Nasal Septum,Incontinence of Faeces,"Multiple System Atrophy, Parkinsonian Type",Jampel Schwartz Syndrome,Deflected Septum,Napkin Rash,Anti Tumor Agents,Histiocytomas Cutaneous
Vitamin B6 Deficiency,Disease Pancreas,Episodes Vasovagal,Deficiency Vitamin B6,Beta Aminopropylbenzene,B6 Deficiency Vitamin,Mucopolysaccharidosis Type IIIB,Intrinsic Eczema
Mucopolysaccharidosis Type 4,Vit B 6 Deficiency,Mucopolysaccharidosis Type 4,Syndromes Morquio,Autoimmune Hyperthyroidism,Deficiency Disease Ornithine Carbamoyltransferase,St Louis Encephalitis Virus Infection,Costiveness
Acrochordon,Pseudo Obstruction of Intestine,Follicular Carcinoma well Differentiated,ACTH-Dependent CS,Diabetes Mellitus Insulin Dependent,Acute Idiopathic Facial Neuropathy,Basedows Dis,Dislocations Shoulder
Prostatic Disease,Syndrome Clouston's,"Guillain-Barré syndrome, acute inflammatory demyelinating polyradiculoneuropathic form",Follicular Carcinoma of Thyroid,Prostatic Diseases and Syndromes,Of Prostate Disease,Prostatic Disease or Syndrome,Acute Monocytic Leukemia Morphology (morphologic Abnormality)
