Actual Diagnosis,Suggested Diagnosis 1,Suggested Diagnosis 2,Suggested Diagnosis 3,Suggested Diagnosis 4,Suggested Diagnosis 5
Vagus Nerve Injury,Traumas Tenth Nerve,Injury to Pneumogastric Nerve,Injury Tenth Cranial Nerve,Injury of Tenth Cranial Nerve,Vagus Nerve Injury
Fecal Incontinence,Feces Incontinence,Stool Soiling,Incontinence Faecal,Rectal Discharge Incontinent of Stool,Zeta-Associated-Protein 70 Deficiency
Vasovagal Syncope,Gower's Syndrome,Fainting Fit due to Vagal Nerve Stimulation,Vagal Reaction,Syncope Neurally Mediated,Vagal Attack
Abruptio Placentae,Premature Separation Placenta,Premature Separation of Placenta Unspecified as to Episode of Care,Placenta Abruption,Enceph California,Placenta Abruptio
Cryptorchidism,Absent Testes,UDT Undescended Testes,Myasthenic Syndrome Lambert Eaton,IDT Imperf Descended Testis,Testicle Maldescended
Kearns-Sayre Syndrome,Kearns Sayers Syndrome,Gammapathy Benign Monoclonal,Kearns' Syndrome,Kearns-Sayre Syndrome,CPEO with Myopathy
Ornithine Transcarbamylase Deficiency,Septal Deviation,Ornithine Transcarbamoylase Deficiency,Metamorphosis Fatty Liver,Ornithin Transcarbamoylase Def,Ornithine Carbomoyltransferase (oct) Deficiency
Childhood Celiac Disease,Infant Celiac Disease,Celiac Disease Infantile,Acute sensory ataxic Guillain-Barré syndrome,Infant Coeliac Disease,St Louis Enceph
Diamond-Blackfan Anemia,Vitamin B 6 Deficiency,Pure Congenital Red Cell Aplasia,Congenital Hypoplastic Anaemia Type Diamond-Blackfan,Saddle Embolus (morphologic Abnormality),Encephalopathies Portal Systemic
Small-Cell Carcinoma of the Lung,Lung Cancer Small Cell,Periapical Abscesses,Lung Oat Cell Carcinoma,Small Cell Lung Cancer,Lung Carcinoma Small Cell
Perianal Paget Disease,Paget Disease of the Anal Margin,Paget's Disease of the Anal Margin,Anal Margin Paget Disease,Paget's Disease Perianal Skin,Wernicke Encephalopathy Syndrome
Atrioventricular Dissociation,Dissociation Isorhythmic,Atrioventricular Dissociations,Candidiasis of Mouth,Dissociations Atrioventricular,Dissociation Atrioventricular
Tumor of the Heart,Neoplasm Heart,Cardiac Neoplasms,Tumor of Heart,Heart Tumors,Hepatoma
Gianotti-Crosti Syndrome,Syndrome Acropapulo Vesicular,Childhood Papular Acrodermatitis,Papulovesicular Acrolocated Syndrome,Infantile Papular Acrodermatitis,Schwartz Jampel Syndrome
Fatty Liver,Fatty Change Liver,Hepatic Lipidosis,Liver Degeneration Fatty,Liver Fat,Liver Fatty Change
Wernicke Encephalopathy,Aortic Bifurcation Embolus,Wernickes Enceph,Wernicke Encephalopathy Syndrome,Wernicke Enceph,Anomaly Connection Pulmonary Veins Total
Hirschsprung Disease,Eaton Lambert Myopathic Myasthenic Syndromes,Diseases Prostate,Macrocolon,Hirschsprungs Disease,Hirschsprung Disease
Myocardial Infarction,Testicles Missing,Pure Hereditary Red Cell Aplasia,Drugs Cancer Chemotherapy,Sclerosing Angioma,Pseudotumor Cerebri
Bonnemann-Meinecke-Reich Syndrome,FCD Type 2,Isolated Focal Cortical Dysplasia Type 1c,CRASH Syndrome,Isolated Focal Cortical Dysplasia Type 1a,FCD Type 1
Replacement Arthroplasty,Joint Prosthesis Insertion,Replacement of Joint (procedure),Prosthesis Implantation Joint,Implantation of Joint Prosthesis (procedure),Implantation of Joint Prosthesis
Pituitary Cushing Syndrome,Pituitary-Dependent Hypercortisolism Disorder,Papular Acrodermatitis of Childhood,Thyroid Cancer Follicular Carcinoma,Disorders X Linked Lymphoproliferative,Enceph California Viral
Acute Monocytic Leukemia,Intellectual Disability - Obesity - Brain Malformations - Facial Dysmorphism Syndrome,Acute Monoblastic Leukemia,Acute Monocytic Leukemia,Ingrown Nails Finger,Dermatitis Diaper
Renal Colic,Renal Colic Acute,Colics Ureteral,Diseases X Linked Lymphoproliferative,Colic Acute Renal,Renal Colic (& Symptom)
Thrombotic Thrombocytopenic Purpura,Ttp (thrombotic Thrombocytopenic Purpura),Cutaneous Polyp,TTP,Moschcowitz,Thrombotic Thrombocytopenic Purpura
Mucopolysaccharidosis Type 3B,Sanfilippo B,N Acetyl Alpha D Glucosaminidase Deficiency,Giannotti Crosti,Alpha Methylbenzeneethaneamine,Diseases Pancreatic
Reactive Arthritis,Post Infectious Arthritis,Reactive Arthritis,Hepatic Failure Acute,Costive Symptom,Arthritis after Infection
Deviated Nasal Septum,Tenth Cranial Nerve Injury,Deviation Septum (nasal),Rhinitis Acute,Deflection Septum,Nose Septum Deviation
Vitamin B6 Deficiency,Vitamin B6 Defic,Vitamin B6 Deficiency,Colics Acute Renal,Vitamin Deficiency B6,Paget Disease Perianal
Mucopolysaccharidosis Type 4,Eccentrochondrodysplasia,Mucopolysaccharidosis Type 4,Familial Osseous Dystrophy,Kearns Sayre Mitochon Cytopath,MPS 4
Acrochordon,Thyroid Cancer Follicular Carcinoma,Affective Disturbances,Vasculitis Leukocytoclastic,Small Cell Carcinoma of Lung,Skin Tags
Prostatic Disease,Guillain-Barré syndrome,Monocytic Leukaemia Acute,Prostate Disorders,MPS3B,Prostatic Disease or Syndrome
